transaction_id,date,product_id,store_id,units_sold,sales_revenue
T000001,2024-01-01,P007,S03,26,7576.92
T000002,2024-01-01,P010,S03,22,1470.04
T000003,2024-01-01,P001,S02,8,475.68
T000004,2024-01-01,P002,S02,26,820.3000000000001
T000005,2024-01-01,P008,S03,26,6558.5
T000006,2024-01-01,P003,S02,25,6546.5
T000007,2024-01-01,P004,S01,30,5589.599999999999
T000008,2024-01-01,P010,S03,23,1536.86
T000009,2024-01-01,P006,S01,32,667.84
T000010,2024-01-01,P001,S03,6,356.76
T000011,2024-01-02,P006,S01,20,417.40000000000003
T000012,2024-01-02,P001,S02,6,356.76
T000013,2024-01-02,P005,S03,16,3468.8
T000014,2024-01-02,P001,S01,5,297.3
T000015,2024-01-02,P007,S01,19,5536.9800000000005
T000016,2024-01-02,P007,S01,17,4954.14
T000017,2024-01-02,P006,S03,19,396.53000000000003
T000018,2024-01-02,P004,S02,19,3540.08
T000019,2024-01-02,P009,S02,20,1510.3999999999999
T000020,2024-01-02,P002,S02,16,504.8
T000021,2024-01-02,P002,S01,14,441.7
T000022,2024-01-02,P001,S03,3,178.38
T000023,2024-01-02,P005,S02,10,2168.0
T000024,2024-01-02,P006,S01,20,417.40000000000003
T000025,2024-01-03,P002,S03,14,441.7
T000026,2024-01-03,P008,S02,18,4540.5
T000027,2024-01-03,P008,S01,17,4288.25
T000028,2024-01-03,P008,S02,20,5045.0
T000029,2024-01-03,P009,S01,24,1812.48
T000030,2024-01-03,P008,S01,20,5045.0
T000031,2024-01-03,P010,S01,15,1002.3
T000032,2024-01-03,P008,S01,17,4288.25
T000033,2024-01-04,P001,S01,5,297.3
T000034,2024-01-04,P005,S02,15,3252.0
T000035,2024-01-04,P002,S01,16,504.8
T000036,2024-01-04,P003,S01,14,3666.04
T000037,2024-01-04,P009,S01,24,1812.48
T000038,2024-01-04,P009,S03,24,1812.48
T000039,2024-01-04,P002,S01,15,473.25
T000040,2024-01-04,P002,S01,16,504.8
T000041,2024-01-04,P005,S01,16,3468.8
T000042,2024-01-05,P003,S02,20,5237.200000000001
T000043,2024-01-05,P004,S01,21,3912.72
T000044,2024-01-05,P009,S02,21,1585.9199999999998
T000045,2024-01-05,P004,S02,21,3912.72
T000046,2024-01-05,P001,S03,6,356.76
T000047,2024-01-05,P008,S01,18,4540.5
T000048,2024-01-05,P003,S01,16,4189.76
T000049,2024-01-05,P002,S01,16,504.8
